2024-06-09 14:35:11,104.hm_producer.INFO ==================================================
2024-06-09 14:35:11,104.hm_producer.INFO Today is 2024-06-09 at 02:35 PM
2024-06-09 14:35:11,106.hm_producer.INFO Running on: nt Windows 10
2024-06-09 14:35:11,107.hm_producer.INFO Python version:  3.10.9
2024-06-09 14:35:11,108.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-09 14:35:11,109.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-06-smart-smoker
2024-06-09 14:35:11,110.hm_producer.INFO ==================================================
2024-06-09 14:35:18,141.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:37:10', 224.7)
2024-06-09 14:35:18,242.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:37:15', 224.7)
2024-06-09 14:35:18,268.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:38:10', 224.2)
2024-06-09 14:35:18,293.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:38:15', 224.2)
2024-06-09 14:35:18,318.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:39:10', 223.6)
2024-06-09 14:35:18,363.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:39:15', 223.6)
2024-06-09 14:35:18,390.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:40:10', 224.6)
2024-06-09 14:35:18,419.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:40:15', 224.6)
2024-06-09 14:35:18,450.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:41:10', 224.3)
2024-06-09 14:35:18,480.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:41:15', 224.3)
2024-06-09 14:35:18,509.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:42:10', 226.6)
2024-06-09 14:35:18,541.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:42:15', 226.6)
2024-06-09 14:35:18,573.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:43:10', 229.0)
2024-06-09 14:35:18,610.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:43:15', 229.0)
2024-06-09 14:35:18,650.hm_producer.INFO Sent message to smokerA: ('05/22/21 13:44:10', 232.8)
